station_id,datapoint_id,alarm_id,event_time,value,valueThreshold,isActive,storedtime
1161115040,141,312,2017-02-19 12:48:23 UTC,56,56,false,
1161114043,141,312,2017-02-19 12:48:29 UTC,56.5,56,true,
1161114043,141,312,2017-02-19 12:48:32 UTC,56,56,false,
1161115040,141,312,2017-02-19 12:48:35 UTC,56.5,56,true,
1161115040,141,312,2017-02-19 12:48:38 UTC,56,56,false,
1161114055,116,303,2017-02-19 12:48:51 UTC,999999,999999,true,
1161114055,116,303,2017-02-19 12:48:52 UTC,999999,999999,false,
1161114043,141,312,2017-02-19 12:48:53 UTC,56.5,56,true,
1161115040,141,312,2017-02-19 12:48:56 UTC,56,56,false,
1161114057,121,308,2017-02-19 12:48:56 UTC,241,240,true,
1161115040,141,312,2017-02-19 12:48:56 UTC,56.5,56,true,
1161115040,141,312,2017-02-19 12:48:57 UTC,56.5,56,true,
1161114043,141,312,2017-02-19 12:48:57 UTC,56,56,false,
1161115040,141,312,2017-02-19 12:48:58 UTC,56,56,false,
1161114043,141,312,2017-02-19 12:49:00 UTC,56.5,56,true,
1161115040,141,312,2017-02-19 12:49:00 UTC,56.5,56,true,
1161114043,141,312,2017-02-19 12:49:00 UTC,56,56,false,
1161115040,141,312,2017-02-19 12:49:00 UTC,56,56,false,
1161114043,141,312,2017-02-19 12:49:01 UTC,56.5,56,true,
1161114043,141,312,2017-02-19 12:49:02 UTC,56,56,false,
1161114057,121,308,2017-02-19 12:49:05 UTC,240,240,false,
1161115040,141,312,2017-02-19 12:49:07 UTC,56.5,56,true,
1161114043,141,312,2017-02-19 12:49:08 UTC,56.5,56,true,
1161115040,141,312,2017-02-19 12:49:09 UTC,56,56,false,
1161114043,141,312,2017-02-19 12:49:09 UTC,56,56,false,
1161115040,141,312,2017-02-19 12:49:13 UTC,56.5,56,true,
1161115040,141,312,2017-02-19 12:49:14 UTC,56,56,false,
1161114043,141,312,2017-02-19 12:49:18 UTC,56.5,56,true,
1161114043,141,312,2017-02-19 12:49:19 UTC,56,56,false,
1161114075,115,306,2017-02-19 12:49:19 UTC,80.5,80,true,
1161115040,141,312,2017-02-19 12:49:22 UTC,56.5,56,true,
1161114029,122,310,2017-02-19 12:49:22 UTC,32,30,true,
1161114043,141,312,2017-02-19 12:49:23 UTC,56.5,56,true,
1161115040,141,312,2017-02-19 12:49:23 UTC,56,56,false,
1161114043,141,312,2017-02-19 12:49:25 UTC,56,56,false,
1161114043,141,312,2017-02-19 12:49:26 UTC,56.5,56,true,
1161114043,141,312,2017-02-19 12:49:27 UTC,56,56,false,
1161114043,141,312,2017-02-19 12:49:27 UTC,56.5,56,true,
1161114043,141,312,2017-02-19 12:49:28 UTC,56,56,false,
1161114043,141,312,2017-02-19 12:49:36 UTC,56.5,56,true,
1161115040,141,312,2017-02-19 12:49:39 UTC,56,56,false,
