station_id,datapoint_id,alarm_id,event_time,value,valueThreshold,isActive,storedtime
1161115040,141,312,2017-02-22 07:05:26 UTC,56.5,56,true,
1161115040,141,312,2017-02-22 07:05:26 UTC,56,56,false,
1161114071,121,308,2017-02-22 07:05:26 UTC,241,240,true,
1161115040,141,312,2017-02-22 07:05:26 UTC,56,56,false,
1161115040,141,312,2017-02-22 07:05:26 UTC,56,56,false,
1161114007,121,309,2017-02-22 07:05:27 UTC,200,200,false,
1161115040,121,309,2017-02-22 07:05:28 UTC,200,200,false,
1161115040,121,309,2017-02-22 07:05:28 UTC,200,200,false,
1161115040,121,309,2017-02-22 07:05:28 UTC,200,200,false,
1161114059,114,304,2017-02-22 07:05:31 UTC,40.5,40,true,
1161115040,141,312,2017-02-22 07:05:31 UTC,56,56,false,
1161115040,141,312,2017-02-22 07:05:31 UTC,56,56,false,
1161115040,141,312,2017-02-22 07:05:31 UTC,56,56,false,
1161115040,141,312,2017-02-22 07:05:32 UTC,56,56,false,
1161115040,141,312,2017-02-22 07:05:32 UTC,56.5,56,true,
1161115040,141,312,2017-02-22 07:05:32 UTC,56.5,56,true,
1161115040,141,312,2017-02-22 07:05:32 UTC,56,56,false,
1161115040,141,312,2017-02-22 07:05:32 UTC,56,56,false,
1161115040,141,312,2017-02-22 07:05:32 UTC,56.5,56,true,
1161115040,141,312,2017-02-22 07:05:33 UTC,56,56,false,
1161115040,141,312,2017-02-22 07:05:33 UTC,56,56,false,
1161115040,141,312,2017-02-22 07:05:33 UTC,56.5,56,true,
1161115040,141,312,2017-02-22 07:05:33 UTC,56.5,56,true,
1161114050,143,312,2017-02-22 07:05:33 UTC,28.5,28,true,
1161115040,141,312,2017-02-22 07:05:33 UTC,56,56,false,
1161114007,121,309,2017-02-22 07:05:33 UTC,199,200,true,
1161115040,141,312,2017-02-22 07:05:33 UTC,56.5,56,true,
1161115006,153,319,2017-02-22 07:05:34 UTC,999991,1,true,
1161115040,141,312,2017-02-22 07:05:37 UTC,56.5,56,true,
1161115040,141,312,2017-02-22 07:05:37 UTC,56.5,56,true,
1161115040,141,312,2017-02-22 07:05:37 UTC,56.5,56,true,
1161115038,114,304,2017-02-22 07:05:37 UTC,40,40,false,
1161115006,153,319,2017-02-22 07:05:39 UTC,999990,1,false,
1161114007,121,309,2017-02-22 07:05:43 UTC,200,200,false,
1161115040,141,312,2017-02-22 07:05:45 UTC,56,56,false,
1161115040,141,312,2017-02-22 07:05:45 UTC,56,56,false,
1161115033,121,308,2017-02-22 07:05:46 UTC,240,240,false,
1161115006,153,319,2017-02-22 07:05:46 UTC,999991,1,true,
1161115040,141,312,2017-02-22 07:05:48 UTC,56.5,56,true,
1161115040,141,312,2017-02-22 07:05:48 UTC,56.5,56,true,
1161114007,121,309,2017-02-22 07:05:48 UTC,199,200,true,
1161114020,121,309,2017-02-22 07:05:53 UTC,197,200,true,
1161114007,121,309,2017-02-22 07:05:57 UTC,200,200,false,
1161115040,141,312,2017-02-22 07:05:57 UTC,56,56,false,
1161115040,141,312,2017-02-22 07:05:58 UTC,56.5,56,true,
1161115006,153,319,2017-02-22 07:05:59 UTC,999990,1,false,
1161115040,141,312,2017-02-22 07:05:59 UTC,56,56,false,
1161114020,121,309,2017-02-22 07:06:01 UTC,201,200,false,
1161115040,141,312,2017-02-22 07:06:07 UTC,56.5,56,true,
1161115033,121,308,2017-02-22 07:06:07 UTC,241,240,true,
1161115038,114,304,2017-02-22 07:06:07 UTC,40.5,40,true,
1161115040,141,312,2017-02-22 07:06:08 UTC,56,56,false,
1161114008,121,308,2017-02-22 07:06:09 UTC,241,240,true,
1161115040,141,312,2017-02-22 07:06:12 UTC,56.5,56,true,
1161114059,114,304,2017-02-22 07:06:12 UTC,40,40,false,
1161114039,121,309,2017-02-22 07:06:15 UTC,200,200,false,
1161115006,153,319,2017-02-22 07:06:16 UTC,999991,1,true,
1161115040,141,312,2017-02-22 07:06:16 UTC,56,56,false,
1161115040,141,312,2017-02-22 07:06:18 UTC,56.5,56,true,
1161114050,143,312,2017-02-22 07:06:18 UTC,28,28,false,
1161115040,141,312,2017-02-22 07:06:19 UTC,56,56,false,
1161115006,153,319,2017-02-22 07:06:19 UTC,999990,1,false,
1161115040,141,312,2017-02-22 07:06:20 UTC,56.5,56,true,
1161114007,121,309,2017-02-22 07:06:20 UTC,199,200,true,
1161114059,114,304,2017-02-22 07:06:21 UTC,40.5,40,true,
1161115040,141,312,2017-02-22 07:06:21 UTC,56,56,false,
1161115006,153,319,2017-02-22 07:06:21 UTC,999991,1,true,
1161115040,121,309,2017-02-22 07:06:22 UTC,199,200,true,
1161114007,121,309,2017-02-22 07:06:23 UTC,200,200,false,
1161115006,153,319,2017-02-22 07:06:25 UTC,999990,1,false,
1161115033,121,308,2017-02-22 07:06:27 UTC,238,240,false,
1161115040,141,312,2017-02-22 07:06:30 UTC,56.5,56,true,
1161114050,143,312,2017-02-22 07:06:32 UTC,28.5,28,true,
1161115040,141,312,2017-02-22 07:06:35 UTC,56,56,false,
1161115040,141,312,2017-02-22 07:06:35 UTC,56.5,56,true,
1161115033,121,308,2017-02-22 07:06:35 UTC,243,240,true,
1161115040,141,312,2017-02-22 07:06:36 UTC,56,56,false,
1161115006,153,319,2017-02-22 07:06:38 UTC,999991,1,true,
1161115040,141,312,2017-02-22 07:06:38 UTC,56.5,56,true,
1161115006,153,319,2017-02-22 07:06:40 UTC,999990,1,false,
1161115006,153,319,2017-02-22 07:06:41 UTC,999991,1,true,
1161115006,153,319,2017-02-22 07:06:45 UTC,999990,1,false,
1161115040,141,312,2017-02-22 07:06:45 UTC,56,56,false,
1161115040,141,312,2017-02-22 07:06:48 UTC,56.5,56,true,
1161115006,153,319,2017-02-22 07:06:49 UTC,999991,1,true,
1161114039,121,309,2017-02-22 07:06:51 UTC,199,200,true,
1161115006,153,319,2017-02-22 07:06:51 UTC,999990,1,false,
1161114039,121,309,2017-02-22 07:06:54 UTC,200,200,false,
1161115006,153,319,2017-02-22 07:06:55 UTC,999991,1,true,
1161115040,141,312,2017-02-22 07:06:56 UTC,56,56,false,
1161115040,141,312,2017-02-22 07:06:59 UTC,56.5,56,true,
1161115040,141,312,2017-02-22 07:07:01 UTC,56,56,false,
1161115006,153,319,2017-02-22 07:07:02 UTC,999990,1,false,
1161115038,114,304,2017-02-22 07:07:03 UTC,40,40,false,
1161115040,141,312,2017-02-22 07:07:06 UTC,56.5,56,true,
1161115040,141,312,2017-02-22 07:07:06 UTC,56,56,false,
1161114059,121,309,2017-02-22 07:07:07 UTC,199,200,true,
1161114059,121,309,2017-02-22 07:07:07 UTC,199,200,true,
1161114059,121,309,2017-02-22 07:07:07 UTC,199,200,true,
1161114059,121,309,2017-02-22 07:07:07 UTC,199,200,true,
1161114059,121,309,2017-02-22 07:07:07 UTC,199,200,true,
1161114022,121,309,2017-02-22 07:07:11 UTC,199,200,true,
1161115040,141,312,2017-02-22 07:07:15 UTC,56.5,56,true,
1161115040,141,312,2017-02-22 07:07:15 UTC,56.5,56,true,
1161115040,141,312,2017-02-22 07:07:15 UTC,56.5,56,true,
1161115040,141,312,2017-02-22 07:07:16 UTC,56,56,false,
1161115040,141,312,2017-02-22 07:07:16 UTC,56,56,false,
1161115040,141,312,2017-02-22 07:07:16 UTC,56,56,false,
1161115040,141,312,2017-02-22 07:07:17 UTC,56.5,56,true,
