station_id,datapoint_id,alarm_id,event_time,value,valueThreshold,isActive,storedtime
1160629000,143,313,2017-02-20 21:05:05 UTC,25.5,26,true,
1160629000,143,313,2017-02-20 21:05:05 UTC,25.5,26,true,
1160629000,143,313,2017-02-20 21:05:05 UTC,25.5,26,true,
1160629000,143,313,2017-02-20 21:05:05 UTC,26,26,false,
1161114055,114,303,2017-02-20 21:05:09 UTC,999999,999999,true,
1161114050,143,312,2017-02-20 21:05:10 UTC,28.5,28,true,
1160629000,143,313,2017-02-20 21:05:10 UTC,26,26,false,
1161114050,143,312,2017-02-20 21:05:10 UTC,28,28,false,
1161114055,114,303,2017-02-20 21:05:10 UTC,999999,999999,false,
1161115010,121,308,2017-02-20 21:05:11 UTC,240,240,false,
1160629000,143,313,2017-02-20 21:05:11 UTC,26,26,false,
1160629000,143,313,2017-02-20 21:05:11 UTC,25.5,26,true,
1161115010,121,308,2017-02-20 21:05:15 UTC,241,240,true,
1160629000,143,313,2017-02-20 21:05:16 UTC,25.5,26,true,
1160629000,143,313,2017-02-20 21:05:16 UTC,26,26,false,
1160629000,143,313,2017-02-20 21:05:18 UTC,25.5,26,true,
1161114050,143,312,2017-02-20 21:05:19 UTC,28,28,false,
1160629000,143,313,2017-02-20 21:05:19 UTC,26,26,false,
1161114050,143,312,2017-02-20 21:05:19 UTC,28,28,false,
1161114050,143,312,2017-02-20 21:05:19 UTC,28.5,28,true,
1160629000,143,313,2017-02-20 21:05:20 UTC,25.5,26,true,
1161115040,141,312,2017-02-20 21:05:23 UTC,56.5,56,true,
1161114050,143,312,2017-02-20 21:05:25 UTC,28.5,28,true,
1161115040,141,312,2017-02-20 21:05:26 UTC,56,56,false,
1161115040,141,312,2017-02-20 21:05:34 UTC,56,56,false,
1161115040,141,312,2017-02-20 21:05:34 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 21:05:36 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 21:05:36 UTC,56,56,false,
1160629000,121,308,2017-02-20 21:05:37 UTC,230,230,false,
1160629000,143,313,2017-02-20 21:05:38 UTC,26,26,false,
1160629000,143,313,2017-02-20 21:05:46 UTC,25.5,26,true,
1161114050,143,312,2017-02-20 21:05:50 UTC,28,28,false,
1160629000,143,313,2017-02-20 21:05:51 UTC,26,26,false,
1161114050,143,312,2017-02-20 21:05:51 UTC,28.5,28,true,
1160629000,143,313,2017-02-20 21:05:55 UTC,25.5,26,true,
1160629000,143,313,2017-02-20 21:05:56 UTC,26,26,false,
