station_id,datapoint_id,alarm_id,event_time,value,valueThreshold,isActive,storedtime
1161114050,143,312,2017-02-20 01:55:36 UTC,28,28,false,
1161114050,143,312,2017-02-20 01:55:37 UTC,28,28,false,
1160629000,143,313,2017-02-20 01:55:37 UTC,26,26,false,
1161114050,143,312,2017-02-20 01:55:38 UTC,28.5,28,true,
1160629000,143,313,2017-02-20 01:55:38 UTC,25.5,26,true,
1160629000,143,313,2017-02-20 01:55:39 UTC,26,26,false,
1161114050,143,312,2017-02-20 01:55:40 UTC,28,28,false,
1160629000,143,313,2017-02-20 01:55:40 UTC,25.5,26,true,
1161114050,143,312,2017-02-20 01:55:40 UTC,28.5,28,true,
1161114005,121,309,2017-02-20 01:55:40 UTC,199,200,true,
1160629000,143,313,2017-02-20 01:55:45 UTC,26,26,false,
1161114005,121,309,2017-02-20 01:55:45 UTC,200,200,false,
1160629000,143,313,2017-02-20 01:55:46 UTC,25.5,26,true,
1161114050,143,312,2017-02-20 01:55:48 UTC,28.5,28,true,
1161114050,143,312,2017-02-20 01:55:48 UTC,28,28,false,
1160629000,143,313,2017-02-20 01:55:50 UTC,26,26,false,
1160629000,143,313,2017-02-20 01:55:51 UTC,25.5,26,true,
1161115040,141,312,2017-02-20 01:55:51 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 01:55:51 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 01:55:51 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 01:55:52 UTC,56,56,false,
1161115040,141,312,2017-02-20 01:55:52 UTC,56,56,false,
1161115040,141,312,2017-02-20 01:55:52 UTC,56,56,false,
1160629000,143,313,2017-02-20 01:55:55 UTC,26,26,false,
1160629000,121,308,2017-02-20 01:55:57 UTC,231,230,true,
1161115040,141,312,2017-02-20 01:56:00 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 01:56:00 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 01:56:00 UTC,56.5,56,true,
1160629000,143,313,2017-02-20 01:56:01 UTC,25.5,26,true,
1160629000,143,313,2017-02-20 01:56:01 UTC,26,26,false,
1161115040,141,312,2017-02-20 01:56:01 UTC,56,56,false,
1161115040,141,312,2017-02-20 01:56:01 UTC,56,56,false,
1161115040,141,312,2017-02-20 01:56:01 UTC,56,56,false,
1160629000,143,313,2017-02-20 01:56:02 UTC,25.5,26,true,
1161115040,141,312,2017-02-20 01:56:02 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 01:56:02 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 01:56:02 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 01:56:03 UTC,56,56,false,
1161115040,141,312,2017-02-20 01:56:03 UTC,56,56,false,
1161115040,141,312,2017-02-20 01:56:03 UTC,56,56,false,
1160629000,143,313,2017-02-20 01:56:04 UTC,26,26,false,
1160629000,143,313,2017-02-20 01:56:05 UTC,25.5,26,true,
1160629000,143,313,2017-02-20 01:56:07 UTC,25.5,26,true,
1160629000,143,313,2017-02-20 01:56:07 UTC,26,26,false,
1160629000,143,313,2017-02-20 01:56:08 UTC,26,26,false,
1160629000,143,313,2017-02-20 01:56:09 UTC,25.5,26,true,
1160629000,143,313,2017-02-20 01:56:14 UTC,26,26,false,
1161114060,121,308,2017-02-20 01:56:15 UTC,241,240,true,
1160629000,143,313,2017-02-20 01:56:18 UTC,25.5,26,true,
1161114050,143,312,2017-02-20 01:56:18 UTC,28,28,false,
1161114050,143,312,2017-02-20 01:56:21 UTC,28.5,28,true,
1161114050,143,312,2017-02-20 01:56:27 UTC,28,28,false,
1161114050,143,312,2017-02-20 01:56:27 UTC,28.5,28,true,
1160629000,121,308,2017-02-20 01:56:29 UTC,230,230,false,
1161115040,141,312,2017-02-20 01:56:29 UTC,56,56,false,
1161115040,141,312,2017-02-20 01:56:29 UTC,56,56,false,
1161115040,141,312,2017-02-20 01:56:29 UTC,56,56,false,
1161115040,141,312,2017-02-20 01:56:29 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 01:56:29 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 01:56:29 UTC,56.5,56,true,
1160629000,143,313,2017-02-20 01:56:30 UTC,26,26,false,
1161115014,121,309,2017-02-20 01:56:30 UTC,199,200,true,
1160629000,121,308,2017-02-20 01:56:30 UTC,231,230,true,
1161115014,121,309,2017-02-20 01:56:32 UTC,202,200,false,
1160629000,143,313,2017-02-20 01:56:34 UTC,25.5,26,true,
1160629000,143,313,2017-02-20 01:56:34 UTC,26,26,false,
1161115040,141,312,2017-02-20 01:56:34 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 01:56:34 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 01:56:34 UTC,56.5,56,true,
1161114028,121,309,2017-02-20 01:56:35 UTC,199,200,true,
1161114050,143,312,2017-02-20 01:56:35 UTC,28,28,false,
1160629000,143,313,2017-02-20 01:56:36 UTC,25.5,26,true,
1160629000,143,313,2017-02-20 01:56:36 UTC,25.5,26,true,
1161115040,141,312,2017-02-20 01:56:37 UTC,56,56,false,
1161115040,141,312,2017-02-20 01:56:37 UTC,56,56,false,
1161115040,141,312,2017-02-20 01:56:37 UTC,56,56,false,
1161114050,143,312,2017-02-20 01:56:39 UTC,28.5,28,true,
1161114050,143,312,2017-02-20 01:56:40 UTC,28,28,false,
1161114050,143,312,2017-02-20 01:56:41 UTC,28.5,28,true,
1161114050,143,312,2017-02-20 01:56:42 UTC,28,28,false,
1161115004,114,303,2017-02-20 01:56:43 UTC,999999,999999,true,
1161114050,143,312,2017-02-20 01:56:43 UTC,28.5,28,true,
1161114050,143,312,2017-02-20 01:56:44 UTC,28.5,28,true,
1161114050,143,312,2017-02-20 01:56:44 UTC,28,28,false,
1160629000,143,313,2017-02-20 01:56:44 UTC,26,26,false,
1160629000,143,313,2017-02-20 01:56:45 UTC,25.5,26,true,
1161115004,114,303,2017-02-20 01:56:46 UTC,999999,999999,false,
1160629000,143,313,2017-02-20 01:56:46 UTC,26,26,false,
1160629000,143,313,2017-02-20 01:56:47 UTC,26,26,false,
1160629000,143,313,2017-02-20 01:56:47 UTC,25.5,26,true,
1160629000,143,313,2017-02-20 01:56:47 UTC,25.5,26,true,
1161115040,141,312,2017-02-20 01:56:50 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 01:56:50 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 01:56:50 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 01:56:51 UTC,56,56,false,
1161115040,141,312,2017-02-20 01:56:51 UTC,56,56,false,
