station_id,datapoint_id,alarm_id,event_time,value,valueThreshold,isActive,storedtime
1161115040,141,312,2017-02-22 09:30:56 UTC,56.5,56,true,
1161115033,121,308,2017-02-22 09:30:59 UTC,239,240,false,
1161115040,141,312,2017-02-22 09:31:01 UTC,56.5,56,true,
1161115040,141,312,2017-02-22 09:31:01 UTC,56,56,false,
1161114007,121,309,2017-02-22 09:31:01 UTC,199,200,true,
1161115039,116,303,2017-02-22 09:31:01 UTC,999999,999999,true,
1161115040,141,312,2017-02-22 09:31:02 UTC,56,56,false,
1161115040,121,309,2017-02-22 09:31:04 UTC,199,200,true,
1161115033,121,308,2017-02-22 09:31:05 UTC,246,240,true,
1161115039,121,309,2017-02-22 09:31:07 UTC,96,200,true,
1161114007,121,309,2017-02-22 09:31:07 UTC,201,200,false,
1161115040,141,312,2017-02-22 09:31:07 UTC,56.5,56,true,
1161115039,121,301,2017-02-22 09:31:07 UTC,96,80,false,
1161115039,121,309,2017-02-22 09:31:10 UTC,203,200,false,
1161115039,153,319,2017-02-22 09:31:10 UTC,999990,1,false,
1161115039,153,319,2017-02-22 09:31:13 UTC,999991,1,true,
1161115040,141,312,2017-02-22 09:31:14 UTC,56,56,false,
1161115037,121,301,2017-02-22 09:31:17 UTC,103,80,false,
1161115037,121,309,2017-02-22 09:31:17 UTC,103,200,true,
1161115039,121,309,2017-02-22 09:31:19 UTC,199,200,true,
1161115037,121,309,2017-02-22 09:31:19 UTC,217,200,false,
1161115040,141,312,2017-02-22 09:31:22 UTC,56,56,false,
1161115040,141,312,2017-02-22 09:31:22 UTC,56.5,56,true,
1161114007,121,309,2017-02-22 09:31:26 UTC,199,200,true,
1161114037,121,309,2017-02-22 09:31:27 UTC,200,200,false,
1161115033,121,308,2017-02-22 09:31:27 UTC,239,240,false,
1161115039,153,319,2017-02-22 09:31:28 UTC,999990,1,false,
1161114037,121,309,2017-02-22 09:31:28 UTC,199,200,true,
1161115039,153,319,2017-02-22 09:31:29 UTC,999991,1,true,
1161114047,114,304,2017-02-22 09:31:29 UTC,40,40,false,
1161115040,141,312,2017-02-22 09:31:32 UTC,56.5,56,true,
1161115040,141,312,2017-02-22 09:31:33 UTC,56,56,false,
1161115040,141,312,2017-02-22 09:31:34 UTC,56.5,56,true,
1161115040,141,312,2017-02-22 09:31:35 UTC,56,56,false,
