station_id,datapoint_id,alarm_id,event_time,value,valueThreshold,isActive,storedtime
1161114068,111,322,2017-02-25 12:56:14 UTC,30,30,false,
1161114003,116,303,2017-02-25 12:56:15 UTC,999999,999999,false,
1161114068,111,322,2017-02-25 12:56:15 UTC,30.5,30,true,
1161114008,153,319,2017-02-25 12:56:16 UTC,999990,1,false,
1161114068,111,322,2017-02-25 12:56:28 UTC,30,30,false,
1161114008,153,319,2017-02-25 12:56:34 UTC,999991,1,true,
1161114008,153,319,2017-02-25 12:56:38 UTC,999990,1,false,
1161114008,153,319,2017-02-25 12:56:40 UTC,999991,1,true,
1161114008,153,319,2017-02-25 12:56:43 UTC,999990,1,false,
1161114008,153,319,2017-02-25 12:56:44 UTC,999991,1,true,
1161114068,111,322,2017-02-25 12:56:46 UTC,30.5,30,true,
1161114008,153,319,2017-02-25 12:56:47 UTC,999990,1,false,
1161114055,116,303,2017-02-25 12:56:47 UTC,999999,999999,true,
1161114055,116,303,2017-02-25 12:56:49 UTC,999999,999999,false,
1161114068,111,322,2017-02-25 12:56:52 UTC,30,30,false,
1161114068,111,322,2017-02-25 12:57:02 UTC,30.5,30,true,
1161115006,116,303,2017-02-25 12:57:05 UTC,999999,999999,true,
1161115006,116,303,2017-02-25 12:57:06 UTC,999999,999999,false,
1161114008,153,319,2017-02-25 12:57:12 UTC,999991,1,true,
1161115003,121,309,2017-02-25 12:57:13 UTC,198,200,true,
1161114008,153,319,2017-02-25 12:57:14 UTC,999990,1,false,
1161115003,121,309,2017-02-25 12:57:17 UTC,201,200,false,
1161114068,111,322,2017-02-25 12:57:24 UTC,30,30,false,
1161114068,111,322,2017-02-25 12:57:25 UTC,30.5,30,true,
1161115030,121,308,2017-02-25 12:57:35 UTC,240,240,false,
1161114008,153,319,2017-02-25 12:57:38 UTC,999991,1,true,
1161114008,153,319,2017-02-25 12:57:41 UTC,999990,1,false,
1161114068,111,322,2017-02-25 12:57:43 UTC,30,30,false,
1161114008,153,319,2017-02-25 12:57:44 UTC,999991,1,true,
1161115030,121,308,2017-02-25 12:57:44 UTC,241,240,true,
1161114068,111,322,2017-02-25 12:57:45 UTC,30.5,30,true,
1161114020,121,309,2017-02-25 12:57:47 UTC,195,200,true,
1161114008,153,319,2017-02-25 12:57:47 UTC,999990,1,false,
1161115006,116,303,2017-02-25 12:57:49 UTC,999999,999999,true,
1161114008,153,319,2017-02-25 12:57:51 UTC,999991,1,true,
1161115006,116,303,2017-02-25 12:57:53 UTC,999999,999999,false,
1161114008,153,319,2017-02-25 12:57:54 UTC,999990,1,false,
1161115030,121,308,2017-02-25 12:57:56 UTC,240,240,false,
1161114020,121,309,2017-02-25 12:57:58 UTC,204,200,false,
1161114057,121,308,2017-02-25 12:58:18 UTC,241,240,true,
1161115003,121,309,2017-02-25 12:58:47 UTC,198,200,true,
1161115003,121,309,2017-02-25 12:58:50 UTC,201,200,false,
1160629000,121,308,2017-02-25 12:58:53 UTC,231,230,true,
1160629000,121,308,2017-02-25 12:58:54 UTC,230,230,false,
1161114008,153,319,2017-02-25 12:59:14 UTC,999991,1,true,
1161114008,153,319,2017-02-25 12:59:18 UTC,999990,1,false,
1160629000,121,308,2017-02-25 12:59:19 UTC,231,230,true,
1161114021,121,309,2017-02-25 12:59:37 UTC,199,200,true,
1161114008,153,319,2017-02-25 12:59:39 UTC,999991,1,true,
1161114008,153,319,2017-02-25 12:59:42 UTC,999990,1,false,
1161114021,121,309,2017-02-25 12:59:48 UTC,201,200,false,
1161114012,115,306,2017-02-25 12:59:49 UTC,80.5,80,true,
1161115030,113,303,2017-02-25 12:59:56 UTC,999999,999999,false,
1161114008,153,319,2017-02-25 12:59:59 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:00:02 UTC,999990,1,false,
1161114056,115,306,2017-02-25 13:00:02 UTC,80.5,80,true,
1161114032,115,306,2017-02-25 13:00:14 UTC,80,80,false,
1161115030,121,308,2017-02-25 13:00:19 UTC,241,240,true,
1161115003,121,309,2017-02-25 13:00:21 UTC,199,200,true,
1161114027,121,308,2017-02-25 13:00:23 UTC,240,240,false,
1161115003,121,309,2017-02-25 13:00:25 UTC,202,200,false,
1161115030,121,308,2017-02-25 13:00:27 UTC,240,240,false,
1161114027,121,308,2017-02-25 13:00:28 UTC,241,240,true,
1161114027,121,308,2017-02-25 13:00:31 UTC,240,240,false,
1161114027,121,308,2017-02-25 13:00:41 UTC,241,240,true,
1161114008,153,319,2017-02-25 13:00:49 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:00:52 UTC,999990,1,false,
1161114020,121,309,2017-02-25 13:00:57 UTC,198,200,true,
1161114027,121,308,2017-02-25 13:01:04 UTC,240,240,false,
1161114027,121,308,2017-02-25 13:01:05 UTC,241,240,true,
1161114027,121,308,2017-02-25 13:01:06 UTC,240,240,false,
1161114020,121,309,2017-02-25 13:01:08 UTC,204,200,false,
1161114027,121,308,2017-02-25 13:01:14 UTC,241,240,true,
1161114027,121,308,2017-02-25 13:01:21 UTC,240,240,false,
1161114027,121,308,2017-02-25 13:01:24 UTC,241,240,true,
1161114027,121,308,2017-02-25 13:01:25 UTC,240,240,false,
1161114027,121,308,2017-02-25 13:01:28 UTC,241,240,true,
1161114027,121,308,2017-02-25 13:01:29 UTC,240,240,false,
1161114068,111,322,2017-02-25 13:01:30 UTC,30,30,false,
1161114008,153,319,2017-02-25 13:01:33 UTC,999991,1,true,
1160629000,121,308,2017-02-25 13:01:34 UTC,230,230,false,
1161114068,111,322,2017-02-25 13:01:35 UTC,30.5,30,true,
1161114008,153,319,2017-02-25 13:01:36 UTC,999990,1,false,
1161114068,111,322,2017-02-25 13:01:36 UTC,30,30,false,
1161114008,153,319,2017-02-25 13:01:39 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:01:42 UTC,999990,1,false,
1161114008,153,319,2017-02-25 13:01:45 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:01:50 UTC,999990,1,false,
1161114008,153,319,2017-02-25 13:01:51 UTC,999991,1,true,
1161114071,121,308,2017-02-25 13:01:54 UTC,240,240,false,
1161115003,121,309,2017-02-25 13:01:56 UTC,196,200,true,
1161114008,153,319,2017-02-25 13:01:58 UTC,999990,1,false,
1161114008,153,319,2017-02-25 13:01:58 UTC,999991,1,true,
1161115003,121,309,2017-02-25 13:02:00 UTC,202,200,false,
1161114008,153,319,2017-02-25 13:02:01 UTC,999990,1,false,
1161115006,116,303,2017-02-25 13:02:03 UTC,999999,999999,true,
1161115006,116,303,2017-02-25 13:02:06 UTC,999999,999999,false,
1161114008,153,319,2017-02-25 13:02:12 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:02:14 UTC,999990,1,false,
1161114008,153,319,2017-02-25 13:02:25 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:02:30 UTC,999990,1,false,
1161115030,121,308,2017-02-25 13:02:32 UTC,241,240,true,
1161114008,121,308,2017-02-25 13:02:35 UTC,240,240,false,
1161114008,153,319,2017-02-25 13:02:38 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:02:43 UTC,999990,1,false,
1161115006,116,303,2017-02-25 13:02:49 UTC,999999,999999,true,
1161115006,116,303,2017-02-25 13:02:50 UTC,999999,999999,false,
1161115030,121,308,2017-02-25 13:02:51 UTC,240,240,false,
1161114056,115,306,2017-02-25 13:03:15 UTC,80,80,false,
1161115006,121,309,2017-02-25 13:03:16 UTC,199,200,true,
1161114008,153,319,2017-02-25 13:03:23 UTC,999991,1,true,
1161114071,113,303,2017-02-25 13:03:24 UTC,999999,999999,true,
1161115038,116,303,2017-02-25 13:03:27 UTC,999999,999999,true,
1161115038,116,303,2017-02-25 13:03:28 UTC,999999,999999,false,
1161114008,153,319,2017-02-25 13:03:29 UTC,999990,1,false,
1161114008,153,319,2017-02-25 13:03:35 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:03:37 UTC,999990,1,false,
1161114008,153,319,2017-02-25 13:03:38 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:03:40 UTC,999990,1,false,
1161114008,153,319,2017-02-25 13:03:49 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:03:52 UTC,999990,1,false,
1161114020,121,309,2017-02-25 13:04:08 UTC,194,200,true,
1161114008,153,319,2017-02-25 13:04:11 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:04:13 UTC,999990,1,false,
1161114020,121,309,2017-02-25 13:04:18 UTC,200,200,false,
1161114008,153,319,2017-02-25 13:04:19 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:04:22 UTC,999990,1,false,
1161115006,121,309,2017-02-25 13:04:23 UTC,200,200,false,
1161114008,153,319,2017-02-25 13:04:27 UTC,999991,1,true,
1161114008,121,308,2017-02-25 13:04:31 UTC,241,240,true,
1161115012,121,308,2017-02-25 13:04:42 UTC,241,240,true,
1161114008,153,319,2017-02-25 13:04:45 UTC,999990,1,false,
1161114008,153,319,2017-02-25 13:04:51 UTC,999991,1,true,
1161115012,121,308,2017-02-25 13:04:54 UTC,240,240,false,
1161114008,153,319,2017-02-25 13:04:54 UTC,999990,1,false,
1161114008,153,319,2017-02-25 13:04:56 UTC,999991,1,true,
1161115006,116,303,2017-02-25 13:04:57 UTC,999999,999999,true,
1161115012,121,308,2017-02-25 13:04:57 UTC,241,240,true,
1161114008,153,319,2017-02-25 13:04:58 UTC,999990,1,false,
1161115006,116,303,2017-02-25 13:04:59 UTC,999999,999999,false,
1161115012,121,308,2017-02-25 13:04:59 UTC,240,240,false,
1161115012,121,308,2017-02-25 13:05:01 UTC,241,240,true,
1161115012,121,308,2017-02-25 13:05:02 UTC,240,240,false,
1161115003,121,309,2017-02-25 13:05:06 UTC,199,200,true,
1161114008,153,319,2017-02-25 13:05:08 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:05:10 UTC,999990,1,false,
1161115003,121,309,2017-02-25 13:05:10 UTC,202,200,false,
1161114008,153,319,2017-02-25 13:05:13 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:05:15 UTC,999990,1,false,
1161114008,153,319,2017-02-25 13:05:25 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:05:29 UTC,999990,1,false,
1161114008,153,319,2017-02-25 13:05:30 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:05:32 UTC,999990,1,false,
1161114032,115,306,2017-02-25 13:05:36 UTC,80.5,80,true,
1161114071,121,308,2017-02-25 13:05:54 UTC,241,240,true,
1161114008,153,319,2017-02-25 13:05:58 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:06:01 UTC,999990,1,false,
1161114008,153,319,2017-02-25 13:06:02 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:06:07 UTC,999990,1,false,
1161114008,153,319,2017-02-25 13:06:13 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:06:16 UTC,999990,1,false,
1161114008,153,319,2017-02-25 13:06:21 UTC,999991,1,true,
1161114071,121,308,2017-02-25 13:06:26 UTC,240,240,false,
1161114008,153,319,2017-02-25 13:06:30 UTC,999990,1,false,
1161114008,153,319,2017-02-25 13:06:33 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:06:39 UTC,999990,1,false,
1161115003,121,309,2017-02-25 13:06:42 UTC,197,200,true,
1161114008,153,319,2017-02-25 13:06:46 UTC,999991,1,true,
1161115003,121,309,2017-02-25 13:06:46 UTC,201,200,false,
1161114008,153,319,2017-02-25 13:06:49 UTC,999990,1,false,
1161114020,121,309,2017-02-25 13:07:17 UTC,198,200,true,
1161114008,153,319,2017-02-25 13:07:18 UTC,999991,1,true,
1161114057,121,308,2017-02-25 13:07:24 UTC,240,240,false,
1161114008,153,319,2017-02-25 13:07:25 UTC,999990,1,false,
1161114020,121,309,2017-02-25 13:07:28 UTC,204,200,false,
1161114071,113,303,2017-02-25 13:07:34 UTC,999999,999999,false,
1161114008,153,319,2017-02-25 13:07:39 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:07:49 UTC,999990,1,false,
1161114008,153,319,2017-02-25 13:07:56 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:08:06 UTC,999990,1,false,
1161114008,153,319,2017-02-25 13:08:08 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:08:11 UTC,999990,1,false,
1161114027,121,308,2017-02-25 13:08:13 UTC,241,240,true,
1161114008,153,319,2017-02-25 13:08:14 UTC,999991,1,true,
1161114071,121,308,2017-02-25 13:08:16 UTC,241,240,true,
1161115003,121,309,2017-02-25 13:08:20 UTC,195,200,true,
1161114008,153,319,2017-02-25 13:08:21 UTC,999991,1,true,
1161114008,153,319,2017-02-25 13:08:21 UTC,999990,1,false,
1161114008,153,319,2017-02-25 13:08:24 UTC,999990,1,false,
