station_id,datapoint_id,alarm_id,event_time,value,valueThreshold,isActive,storedtime
1161114050,143,312,2017-02-20 04:43:22 UTC,28,28,false,
1161114050,143,312,2017-02-20 04:43:22 UTC,28.5,28,true,
1160629000,143,313,2017-02-20 04:43:23 UTC,26,26,false,
1161115040,141,312,2017-02-20 04:43:25 UTC,56,56,false,
1161115040,141,312,2017-02-20 04:43:25 UTC,56,56,false,
1161115040,141,312,2017-02-20 04:43:26 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 04:43:26 UTC,56.5,56,true,
1160629000,143,313,2017-02-20 04:43:26 UTC,25.5,26,true,
1160629000,143,313,2017-02-20 04:43:31 UTC,26,26,false,
1160629000,143,313,2017-02-20 04:43:32 UTC,25.5,26,true,
1161115040,141,312,2017-02-20 04:43:33 UTC,56,56,false,
1161115040,141,312,2017-02-20 04:43:33 UTC,56,56,false,
1161114050,143,312,2017-02-20 04:43:34 UTC,28.5,28,true,
1161115040,141,312,2017-02-20 04:43:34 UTC,56.5,56,true,
1161114050,143,312,2017-02-20 04:43:34 UTC,28,28,false,
1161115040,141,312,2017-02-20 04:43:34 UTC,56.5,56,true,
1161114050,143,312,2017-02-20 04:43:36 UTC,28,28,false,
1161115040,141,312,2017-02-20 04:43:36 UTC,56,56,false,
1161115040,141,312,2017-02-20 04:43:36 UTC,56,56,false,
1161114050,143,312,2017-02-20 04:43:37 UTC,28.5,28,true,
1161115040,141,312,2017-02-20 04:43:37 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 04:43:37 UTC,56.5,56,true,
1160629000,143,313,2017-02-20 04:43:38 UTC,26,26,false,
1161115040,141,312,2017-02-20 04:43:39 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 04:43:39 UTC,56,56,false,
1160629000,143,313,2017-02-20 04:43:39 UTC,25.5,26,true,
1161115040,141,312,2017-02-20 04:43:39 UTC,56,56,false,
1161115040,141,312,2017-02-20 04:43:39 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 04:43:40 UTC,56,56,false,
1161115040,141,312,2017-02-20 04:43:40 UTC,56.5,56,true,
1161115040,141,312,2017-02-20 04:43:40 UTC,56,56,false,
1161115040,141,312,2017-02-20 04:43:40 UTC,56.5,56,true,
1160629000,143,313,2017-02-20 04:43:42 UTC,26,26,false,
1160629000,143,313,2017-02-20 04:43:43 UTC,25.5,26,true,
1160629000,143,313,2017-02-20 04:43:44 UTC,26,26,false,
1161115040,141,312,2017-02-20 04:43:44 UTC,56,56,false,
1160629000,143,313,2017-02-20 04:43:45 UTC,25.5,26,true,
1160629000,143,313,2017-02-20 04:43:46 UTC,26,26,false,
1160629000,143,313,2017-02-20 04:43:49 UTC,26,26,false,
1160629000,143,313,2017-02-20 04:43:49 UTC,25.5,26,true,
1161115040,141,312,2017-02-20 04:43:49 UTC,56.5,56,true,
1160629000,143,313,2017-02-20 04:43:49 UTC,25.5,26,true,
1161114049,121,308,2017-02-20 04:43:50 UTC,241,240,true,
1161115040,141,312,2017-02-20 04:43:51 UTC,56,56,false,
1160629000,121,308,2017-02-20 04:43:52 UTC,230,230,false,
1161114050,143,312,2017-02-20 04:43:54 UTC,28,28,false,
